name,score,balls,no. of six,no.of fours,strike rate,ground,team,opposition,date
BB McCullum,158*,73,10,13,216.43,Bengaluru,KKR,RCB,18 Apr 2008
MEK Hussey,116*,54,8,9,214.81,Mohali,Super Kings,Kings XI,19 Apr 2008
A Symonds,117*,53,11,7,220.75,Hyderabad (Deccan),Chargers,Royals,24 Apr 2008
AC Gilchrist,109*,47,9,10,231.91,Mumbai,Chargers,Mum Indians,27 Apr 2008
ST Jayasuriya,114*,48,9,11,237.50,Mumbai,Mum Indians,Super Kings,14 May 2008
SE Marsh,115,69,11,7,166.66,Mohali,Kings XI,Royals,28 May 2008
AB de Villiers,105*,54,5,6,194.44,Durban,Daredevils,Super Kings,23 Apr 2009
MK Pandey,114*,73,10,4,156.16,Centurion,RCB,Chargers,21 May 2009
YK Pathan,100,37,9,8,270.27,Mumbai (BS),Royals,Mum Indians,13 Mar 2010
DA Warner,107*,69,9,5,155.07,Delhi,Daredevils,KKR,29 Mar 2010
M Vijay,127,56,8,11,226.78,Chennai,Super Kings,Royals,3 Apr 2010
DPMD Jayawardene,110*,59,14,3,186.44,Kolkata,Kings XI,KKR,4 Apr 2010
PC Valthaty,120*,63,19,2,190.47,Mohali,Kings XI,Super Kings,13 Apr 2011
SR Tendulkar,100*,66,12,3,151.51,Mumbai,Mum Indians,Kochi,15 Apr 2011
CH Gayle,102*,55,10,7,185.45,Kolkata,RCB,KKR,22 Apr 2011
V Sehwag,119,56,13,6,212.50,Hyderabad (Deccan),Daredevils,Chargers,5 May 2011
CH Gayle,107,49,10,9,218.36,Bengaluru,RCB,Kings XI,6 May 2011
AC Gilchrist,106,55,8,9,192.72,Dharamsala,Kings XI,RCB,17 May 2011
AM Rahane,103*,60,12,5,171.66,Bengaluru,Royals,RCB,15 Apr 2012
KP Pietersen,103*,64,6,9,160.93,Delhi,Daredevils,Chargers,19 Apr 2012
DA Warner,109*,54,10,7,201.85,Hyderabad (Deccan),Daredevils,Chargers,10 May 2012
RG Sharma,109*,60,12,5,181.66,Kolkata,Mum Indians,KKR,12 May 2012
CH Gayle,128*,62,7,13,206.45,Delhi,RCB,Daredevils,17 May 2012
M Vijay,113,58,15,4,194.82,Chennai,Super Kings,Daredevils,25 May 2012
SR Watson,101,61,6,6,165.57,Chennai,Royals,Super Kings,22 Apr 2013
CH Gayle,175*,66,13,17,265.15,Bengaluru,RCB,Warriors,23 Apr 2013
SK Raina,100*,53,7,6,188.67,Chennai,Super Kings,Kings XI,2 May 2013
DA Miller,101*,38,8,7,265.78,Mohali,Kings XI,RCB,6 May 2013
LMP Simmons,100*,61,14,2,163.93,Mohali,Mum Indians,Kings XI,21 May 2014
V Sehwag,122,58,12,8,210.34,Mumbai,Kings XI,Super Kings,30 May 2014
WP Saha,115*,55,10,8,209.09,Bengaluru,Kings XI,KKR,1 Jun 2014
BB McCullum,100*,56,7,9,178.57,Chennai,Super Kings,Sunrisers,11 Apr 2015
CH Gayle,117,57,7,12,205.26,Bengaluru,RCB,Kings XI,6 May 2015
AB de Villiers,133*,59,19,4,225.42,Mumbai,RCB,Mum Indians,10 May 2015
SR Watson,104*,59,9,5,176.27,Mumbai (BS),Royals,KKR,16 May 2015
Q de Kock,108,51,15,3,211.76,Bengaluru,Daredevils,RCB,17 Apr 2016
V Kohli,100*,63,11,1,158.73,Rajkot,RCB,Guj Lions,24 Apr 2016
SPD Smith,101,54,8,5,187.03,Pune,Supergiants,Guj Lions,29 Apr 2016
V Kohli,108*,58,8,7,186.20,Bengaluru,RCB,Supergiants,7 May 2016
V Kohli,109,55,5,8,198.18,Bengaluru,RCB,Guj Lions,14 May 2016
AB de Villiers,129*,52,10,12,248.07,Bengaluru,RCB,Guj Lions,14 May 2016
V Kohli,113,50,12,8,226.00,Bengaluru,RCB,Kings XI,18 May 2016
SV Samson,102,63,8,5,161.90,Pune,Daredevils,Supergiant,11 Apr 2017
HM Amla,104*,60,8,6,173.33,Indore,Kings XI,Mum Indians,20 Apr 2017
DA Warner,126,59,10,8,213.55,Hyderabad (Deccan),Sunrisers,KKR,30 Apr 2017
BA Stokes,103*,63,7,6,163.49,Pune,Supergiant,Guj Lions,1 May 2017
HM Amla,104,60,8,5,173.33,Mohali,Kings XI,Guj Lions,7 May 2017
CH Gayle,104*,63,1,11,165.07,Mohali,Kings XI,Sunrisers,19 Apr 2018
SR Watson,106,57,9,6,185.96,Pune,Super Kings,Royals,20 Apr 2018
RR Pant,128*,63,15,7,203.17,Delhi,Daredevils,Sunrisers,10 May 2018
AT Rayudu,100*,62,7,7,161.29,Pune,Super Kings,Sunrisers,13 May 2018
SR Watson,117*,57,11,8,205.26,Mumbai,Super Kings,Sunrisers,27 May 2018
