Player,Runs,Balls,4s,6s,SR,Team,Opposition,Ground,Match date,Scorecard
BB McCullum,158*,73,10,13,216.43,KKR,v RCB,Bengaluru,18 Apr 2008
MEK Hussey,116*,54,8,9,214.81,Super Kings,v Kings XI,Mohali,19 Apr 2008
A Symonds,117*,53,11,7,220.75,Chargers,v Royals,Hyderabad (Deccan),24 Apr 2008
AC Gilchrist,109*,47,9,10,231.91,Chargers,v Mum Indians,Mumbai,27 Apr 2008
ST Jayasuriya,114*,48,9,11,237.50,Mum Indians,v Super Kings,Mumbai,14 May 2008
SE Marsh,115,69,11,7,166.66,Kings XI,v Royals,Mohali,28 May 2008
AB de Villiers,105*,54,5,6,194.44,Daredevils,v Super Kings,Durban,23 Apr 2009
MK Pandey,114*,73,10,4,156.16,RCB,v Chargers,Centurion,21 May 2009
YK Pathan,100,37,9,8,270.27,Royals,v Mum Indians,Mumbai (BS),13 Mar 2010
DA Warner,107*,69,9,5,155.07,Daredevils,v KKR,Delhi,29 Mar 2010
M Vijay,127,56,8,11,226.78,Super Kings,v Royals,Chennai,3 Apr 2010
DPMD Jayawardene,110*,59,14,3,186.44,Kings XI,v KKR,Kolkata,4 Apr 2010
PC Valthaty,120*,63,19,2,190.47,Kings XI,v Super Kings,Mohali,13 Apr 2011
SR Tendulkar,100*,66,12,3,151.51,Mum Indians,v Kochi,Mumbai,15 Apr 2011
CH Gayle,102*,55,10,7,185.45,RCB,v KKR,Kolkata,22 Apr 2011
V Sehwag,119,56,13,6,212.50,Daredevils,v Chargers,Hyderabad (Deccan),5 May 2011
CH Gayle,107,49,10,9,218.36,RCB,v Kings XI,Bengaluru,6 May 2011
AC Gilchrist,106,55,8,9,192.72,Kings XI,v RCB,Dharamsala,17 May 2011
AM Rahane,103*,60,12,5,171.66,Royals,v RCB,Bengaluru,15 Apr 2012
KP Pietersen,103*,64,6,9,160.93,Daredevils,v Chargers,Delhi,19 Apr 2012
DA Warner,109*,54,10,7,201.85,Daredevils,v Chargers,Hyderabad (Deccan),10 May 2012
RG Sharma,109*,60,12,5,181.66,Mum Indians,v KKR,Kolkata,12 May 2012
CH Gayle,128*,62,7,13,206.45,RCB,v Daredevils,Delhi,17 May 2012
M Vijay,113,58,15,4,194.82,Super Kings,v Daredevils,Chennai,25 May 2012
SR Watson,101,61,6,6,165.57,Royals,v Super Kings,Chennai,22 Apr 2013
CH Gayle,175*,66,13,17,265.15,RCB,v Warriors,Bengaluru,23 Apr 2013
SK Raina,100*,53,7,6,188.67,Super Kings,v Kings XI,Chennai,2 May 2013
DA Miller,101*,38,8,7,265.78,Kings XI,v RCB,Mohali,6 May 2013
LMP Simmons,100*,61,14,2,163.93,Mum Indians,v Kings XI,Mohali,21 May 2014
V Sehwag,122,58,12,8,210.34,Kings XI,v Super Kings,Mumbai,30 May 2014
WP Saha,115*,55,10,8,209.09,Kings XI,v KKR,Bengaluru,1 Jun 2014
BB McCullum,100*,56,7,9,178.57,Super Kings,v Sunrisers,Chennai,11 Apr 2015
CH Gayle,117,57,7,12,205.26,RCB,v Kings XI,Bengaluru,6 May 2015
AB de Villiers,133*,59,19,4,225.42,RCB,v Mum Indians,Mumbai,10 May 2015
SR Watson,104*,59,9,5,176.27,Royals,v KKR,Mumbai (BS),16 May 2015
Q de Kock,108,51,15,3,211.76,Daredevils,v RCB,Bengaluru,17 Apr 2016
V Kohli,100*,63,11,1,158.73,RCB,v Guj Lions,Rajkot,24 Apr 2016
SPD Smith,101,54,8,5,187.03,Supergiants,v Guj Lions,Pune,29 Apr 2016
V Kohli,108*,58,8,7,186.20,RCB,v Supergiants,Bengaluru,7 May 2016
V Kohli,109,55,5,8,198.18,RCB,v Guj Lions,Bengaluru,14 May 2016
AB de Villiers,129*,52,10,12,248.07,RCB,v Guj Lions,Bengaluru,14 May 2016
V Kohli,113,50,12,8,226.00,RCB,v Kings XI,Bengaluru,18 May 2016
SV Samson,102,63,8,5,161.90,Daredevils,v Supergiant,Pune,11 Apr 2017
HM Amla,104*,60,8,6,173.33,Kings XI,v Mum Indians,Indore,20 Apr 2017
DA Warner,126,59,10,8,213.55,Sunrisers,v KKR,Hyderabad (Deccan),30 Apr 2017
BA Stokes,103*,63,7,6,163.49,Supergiant,v Guj Lions,Pune,1 May 2017
HM Amla,104,60,8,5,173.33,Kings XI,v Guj Lions,Mohali,7 May 2017
CH Gayle,104*,63,1,11,165.07,Kings XI,v Sunrisers,Mohali,19 Apr 2018
SR Watson,106,57,9,6,185.96,Super Kings,v Royals,Pune,20 Apr 2018
RR Pant,128*,63,15,7,203.17,Daredevils,v Sunrisers,Delhi,10 May 2018
AT Rayudu,100*,62,7,7,161.29,Super Kings,v Sunrisers,Pune,13 May 2018
SR Watson,117*,57,11,8,205.26,Super Kings,v Sunrisers,Mumbai,27 May 2018
