Year,Field,Laureates
2017,physics,"Rainer Weiss, Barry C. Barish and Kip S. Thorne"
2017,chemistry,"Jacques Dubochet, Joachim Frank and Richard Henderson"
2017,medicine,"Jeffrey C. Hall, Michael Rosbash and Michael W. Young"
2017,literature,Kazuo Ishiguro
2017,peace,International Campaign to Abolish Nuclear Weapons (ICAN) 
2017,economic-sciences,Richard H. Thaler
2016,physics,"David J. Thouless, F. Duncan M. Haldane and J. Michael Kosterlitz"
2016,chemistry,"Jean-Pierre Sauvage, Sir J. Fraser Stoddart and Bernard L. Feringa"
2016,medicine,Yoshinori Ohsumi
2016,literature,Bob Dylan
2016,peace,Juan Manuel Santos
2016,economic-sciences,Oliver Hart and Bengt Holmström
2015,physics,Takaaki Kajita and Arthur B. McDonald
2015,chemistry,"Tomas Lindahl, Paul Modrich and Aziz Sancar"
2015,medicine,William C. Campbell and Satoshi Ōmura
2015,medicine,Youyou Tu
2015,literature,Svetlana Alexievich
2015,peace,National Dialogue Quartet 
2015,economic-sciences,Angus Deaton
2014,physics,"Isamu Akasaki, Hiroshi Amano and Shuji Nakamura"
2014,chemistry,"Eric Betzig, Stefan W. Hell and William E. Moerner"
2014,medicine,"John O'Keefe, May-Britt Moser and Edvard I. Moser"
2014,literature,Patrick Modiano
2014,peace,Kailash Satyarthi and Malala Yousafzai
2014,economic-sciences,Jean Tirole
2013,physics,François Englert and Peter W. Higgs
2013,chemistry,"Martin Karplus, Michael Levitt and Arieh Warshel"
2013,medicine,"James E. Rothman, Randy W. Schekman and Thomas C. Südhof"
2013,literature,Alice Munro
2013,peace,Organisation for the Prohibition of Chemical Weapons (OPCW) 
2013,economic-sciences,"Eugene F. Fama, Lars Peter Hansen and Robert J. Shiller"
2012,physics,Serge Haroche and David J. Wineland
2012,chemistry,Robert J. Lefkowitz and Brian K. Kobilka
2012,medicine,Sir John B. Gurdon and Shinya Yamanaka
2012,literature,Mo Yan
2012,peace,European Union (EU) 
2012,economic-sciences,Alvin E. Roth and Lloyd S. Shapley
2011,physics,"Saul Perlmutter, Brian P. Schmidt and Adam G. Riess"
2011,chemistry,Dan Shechtman
2011,medicine,Bruce A. Beutler and Jules A. Hoffmann
2011,medicine,Ralph M. Steinman
2011,literature,Tomas Tranströmer
